"Profile Name,""Country"",""Utc Title Add Date"",""Title Name"""
"Raiss,""Brazil"",""2025-03-29"",""Frida"""
"Raiss,""Brazil"",""2025-03-29"",""Coming to America"""
"Raiss,""Brazil"",""2025-03-29"",""Escape from Alcatraz"""
"Raiss,""Brazil"",""2024-12-29"",""Dr.STONE"""
"Raiss,""Brazil"",""2024-05-11"",""Bodkin"""
"Raiss,""Brazil"",""2023-10-29"",""Once Upon a Time in Hollywood"""
"Raiss,""Brazil"",""2023-04-15"",""Yara"""
"Raiss,""Brazil"",""2023-01-07"",""VINLAND SAGA"""
"Raiss,""Brazil"",""2022-09-24"",""VINLAND SAGA"""
"Raiss,""Brazil"",""2022-08-05"",""Guillermo del Toro's Cabinet of Curiosities"""
"Raiss,""Brazil"",""2022-08-05"",""Under Her Control"""
"Raiss,""Brazil"",""2022-06-05"",""El paseo 6"""
"Raiss,""Brazil"",""2022-02-23"",""The Adam Project"""
"Raiss,""Brazil"",""2022-01-30"",""The Cuphead Show!"""
"Raiss,""Brazil"",""2022-01-30"",""Space Force"""
"Raiss,""Brazil"",""2022-01-23"",""Bulgasal: Immortal Souls"""
"Raiss,""Brazil"",""2021-11-19"",""The Umbrella Academy"""
"Raiss,""Brazil"",""2021-09-03"",""He-Man and the Masters of the Universe"""
"Raiss,""Brazil"",""2021-07-16"",""The Loud House Movie"""
"Raiss,""Brazil"",""2021-07-01"",""Masters of the Universe: Revelation"""
"Raiss,""Brazil"",""2021-07-01"",""Johnny Test"""
"Raiss,""Brazil"",""2021-06-29"",""Masters of the Universe: Revelation"""
"Raiss,""Brazil"",""2021-06-26"",""Trollhunters: Rise of the Titans"""
"Raiss,""Brazil"",""2021-06-26"",""Pokémon Journeys: The Series"""
"Raiss,""Brazil"",""2021-03-02"",""High-Rise Invasion"""
"Raiss,""Brazil"",""2021-02-24"",""Jupiter's Legacy"""
"Rais,""Brazil"",""2021-02-21"",""A Whisker Away"""
"Raiss,""Brazil"",""2021-02-19"",""The Disaster Artist"""
"Raiss,""Brazil"",""2021-02-19"",""Age of SamuRais: Battle for Japan"""
